date,iso_code,continent,location,S0,V0,I0,D0,beta,beta_v,gamma,theta,alpha,alpha0,pi,death_avg,recovery_case,new_full_vaccinated,new_boost_req,daily_case_non_vaccinated,daily_case_vaccinated,current_pol_N,daily_R0,avg_R0
2020-01-31,OWID_WRL,,World,7726662538,0,946,0,1.2748415937150488,0.05768430561531934,0.007196627285586713,0.004850144642240271,2.5422802711369372e-09,1.2048819327963213e-05,363432,0.0,0.0,0.0,0.0,946.0,0.0,7726663484,26.56757371924521,2.7771599745500923
2020-02-01,OWID_WRL,,World,7726854155,0,2152,0,0.7035317944530366,0.05768430561531934,0.007196627285586713,0.004850144642240271,2.5422802711369372e-09,1.2048819327963213e-05,363441,0.0,0.0,0.0,0.0,1206.0,0.0,7726856307,15.000198504382924,2.7771599745500923
2020-02-02,OWID_WRL,,World,7727045469,0,3666,0,0.5109113171362261,0.05768430561531934,0.007196627285586713,0.004850144642240271,2.5422802711369372e-09,1.2048819327963213e-05,363450,0.0,0.0,0.0,0.0,1514.0,0.0,7727049135,11.10018954590264,2.7771599745500923
2020-02-03,OWID_WRL,,World,7727236429,0,5539,0,0.42408407362317113,0.05768430561531934,0.00848528615273515,0.004850144642240271,2.5422802711369372e-09,1.2048819327963213e-05,363459,0.0,0.0,0.0,0.0,1873.0,0.0,7727241968,9.10461643356801,2.7771599745500923
2020-02-04,OWID_WRL,,World,7727426918,0,7841,47,0.35301655726540226,0.05768430561531934,0.006886876673893636,0.004850144642240271,2.5422802711369372e-09,1.2048819327963213e-05,363468,47.0,0.0,0.0,0.0,2349.0,0.0,7727434806,7.953158579415033,2.7771599745500923
2020-02-05,OWID_WRL,,World,7727616992,0,10555,101,0.28214155438314376,0.05768430561531934,0.005495026054002842,0.004850144642240271,2.5422802711369372e-09,1.2048819327963213e-05,363477,54.0,0.0,0.0,0.0,2768.0,0.0,7727627648,6.699079170785836,2.7771599745500923
2020-02-06,OWID_WRL,,World,7727806861,0,13475,159,0.23102081574749994,0.05768430561531934,0.004749536178107606,0.002523191094619666,2.5422802711369372e-09,1.2048819327963213e-05,363486,58.0,0.0,0.0,0.0,2978.0,0.0,7727820495,6.014636211617748,2.7771599745500923
2020-02-07,OWID_WRL,,World,7727996601,34,16490,223,0.19454256805399817,0.06484752360830887,0.004244996967859308,0.004851425106124924,2.5422802711369372e-09,1.2048819327963213e-05,363495,64.0,34.0,0.0,0.0,3113.0,0.0,7728013348,4.630610169276677,2.7771599745500923
2020-02-08,OWID_WRL,,World,7728186249,113,19548,293,0.1708107532860396,0.056936911881143255,0.003990178023327195,0.007059545733578883,2.5422802711369372e-09,1.2048819327963213e-05,363504,70.0,80.0,0.0,0.0,3207.999995295374,4.704626007878687e-06,7728206204,4.334281001193708,2.7771599745500923
2020-02-09,OWID_WRL,,World,7728375772,251,22671,371,0.14728110924731966,0.04909370548656545,0.0036610647964359757,0.00935115345595695,2.5422802711369372e-09,1.2048819327963213e-05,363514,78.0,138.0,0.0,0.0,3338.99998358192,1.641808012209367e-05,7728399066,3.9968136340046168,2.7771599745500923
2020-02-10,OWID_WRL,,World,7728565300,463,25715,454,0.12984683801399194,0.043282285181707236,0.0034221271631343572,0.011899669453626287,2.5422802711369372e-09,1.2048819327963213e-05,363523,83.0,212.0,0.0,0.0,3338.9999637082874,3.629171260399744e-05,7728591933,3.641569613672848,2.7771599745500923
2020-02-11,OWID_WRL,,World,7728754832,769,28660,542,0.10952589214069627,0.036508631390589893,0.002896022330774599,0.01451500348918353,2.5422802711369372e-09,1.2048819327963213e-05,363532,88.0,306.0,0.0,0.0,3338.9999331787985,6.682120147161186e-05,7728784804,3.2432245796278036,2.7771599745500923
2020-02-12,OWID_WRL,,World,7728944569,1185,31300,625,0.10444133665405902,0.03481377877105997,0.002843450479233227,0.01706070287539936,2.5422802711369372e-09,1.2048819327963213e-05,363541,83.0,416.0,0.0,0.0,3138.9998957559656,0.00010424403444631025,7728977680,2.9909036898997496,2.7771599745500923
2020-02-13,OWID_WRL,,World,7729134181,1719,33946,714,0.10690557980390071,0.03563519364034826,0.0029458551817592646,0.020031815235963,2.5422802711369372e-09,1.2048819327963213e-05,363550,89.0,534.0,0.0,0.0,3268.9998327915964,0.00016720840358175337,7729170561,2.821828201531379,2.7771599745500923
